// For documentation see - Map_Content_Documentation.txt
//=====================================================================================



1 0	mcl_core:stone
23 13	mcl_dispensers:dispenser 3

24 0	mcl_core:sandstone
24 1	mcl_core:sandstonecarved
24 2	mcl_core:sandstonesmooth

25	mesecons_noteblock:noteblock		// FIXME: get pitch from entity data

26 0	mcl_beds:bed_red_bottom 2
26 1	mcl_beds:bed_red_bottom 3
26 2	mcl_beds:bed_red_bottom 0
26 3	mcl_beds:bed_red_bottom 1
26 8	mcl_beds:bed_red_top 2
26 9	mcl_beds:bed_red_top 3
26 10	mcl_beds:bed_red_top 0
26 11	mcl_beds:bed_red_top 1

// Powered rail
27 0	mcl_minecarts:golden_rail
27 1	mcl_minecarts:golden_rail
27 2	mcl_minecarts:golden_rail
27 3	mcl_minecarts:golden_rail
27 4	mcl_minecarts:golden_rail
27 5	mcl_minecarts:golden_rail
27 8	mcl_minecarts:golden_rail_on
27 9	mcl_minecarts:golden_rail_on
27 10	mcl_minecarts:golden_rail_on
27 11	mcl_minecarts:golden_rail_on
27 12	mcl_minecarts:golden_rail_on
27 13	mcl_minecarts:golden_rail_on

// Detector rail
28 0	mcl_minecarts:detector_rail
28 1	mcl_minecarts:detector_rail
28 2	mcl_minecarts:detector_rail
28 3	mcl_minecarts:detector_rail
28 4	mcl_minecarts:detector_rail
28 5	mcl_minecarts:detector_rail
28 8	mcl_minecarts:detector_rail_on
28 9	mcl_minecarts:detector_rail_on
28 10	mcl_minecarts:detector_rail_on
28 11	mcl_minecarts:detector_rail_on
28 12	mcl_minecarts:detector_rail_on
28 13	mcl_minecarts:detector_rail_on

//sticky pistons
29 0	mesecons_pistons:piston_down_sticky_off
29 1	mesecons_pistons:piston_up_sticky_off
29 2	mesecons_pistons:piston_sticky_off 2
29 3	mesecons_pistons:piston_sticky_off 0
29 4	mesecons_pistons:piston_sticky_off 1
29 5	mesecons_pistons:piston_sticky_off 3
29 8	mesecons_pistons:piston_down_sticky_on
29 9	mesecons_pistons:piston_up_sticky_on
29 10	mesecons_pistons:piston_sticky_on 2
29 11	mesecons_pistons:piston_sticky_on 0
29 12	mesecons_pistons:piston_sticky_on 1
29 13	mesecons_pistons:piston_sticky_on 3

30	mcl_core:cobweb

31 0	mcl_core:deadbush
31 1	mcl_flowers:tallgrass		// code randomly changes height
31 2	mcl_flowers:fern

32	mcl_core:deadbush

//normal pistons
33 0	mesecons_pistons:piston_down_normal_off
33 1	mesecons_pistons:piston_up_normal_off
33 2	mesecons_pistons:piston_normal_off 2
33 3	mesecons_pistons:piston_normal_off 0
33 4	mesecons_pistons:piston_normal_off 1
33 5	mesecons_pistons:piston_normal_off 3
33 8	mesecons_pistons:piston_down_normal_on
33 9	mesecons_pistons:piston_up_normal_on
33 10	mesecons_pistons:piston_normal_on 2
33 11	mesecons_pistons:piston_normal_on 0
33 12	mesecons_pistons:piston_normal_on 1
33 13	mesecons_pistons:piston_normal_on 3

//piston head
34 0	mesecons_pistons:piston_down_pusher_normal
34 1	mesecons_pistons:piston_up_pusher_normal
34 2	mesecons_pistons:piston_pusher_normal 2
34 3	mesecons_pistons:piston_pusher_normal 0
34 4	mesecons_pistons:piston_pusher_normal 1
34 5	mesecons_pistons:piston_pusher_normal 3
34 8	mesecons_pistons:piston_down_pusher_sticky
34 9	mesecons_pistons:piston_up_pusher_sticky
34 10	mesecons_pistons:piston_pusher_sticky 2
34 11	mesecons_pistons:piston_pusher_sticky 0
34 12	mesecons_pistons:piston_pusher_sticky 1
34 13	mesecons_pistons:piston_pusher_sticky 3

35 0	mcl_wool:white
35 1	mcl_wool:orange
35 2	mcl_wool:magenta
35 3	mcl_wool:light_blue
35 4	mcl_wool:yellow
35 5	mcl_wool:lime
35 6	mcl_wool:pink
35 7	mcl_wool:grey
35 8	mcl_wool:silver
35 9	mcl_wool:cyan
35 10	mcl_wool:purple
35 11	mcl_wool:blue
35 12	mcl_wool:brown
35 13	mcl_wool:green
35 14	mcl_wool:red
35 15	mcl_wool:black

37	mcl_flowers:dandelion
38 0	mcl_flowers:poppy
38 1	mcl_flowers:blue_orchid
38 2	mcl_flowers:allium
38 3	mcl_flowers:azure_bluet
38 4	mcl_flowers:tulip_red
38 5	mcl_flowers:tulip_orange
38 6	mcl_flowers:tulip_white
38 7	mcl_flowers:tulip_pink
38 8	mcl_flowers:oxeye_daisy

39	mcl_mushrooms:mushroom_brown
40	mcl_mushrooms:mushroom_red

41	mcl_core:goldblock
42	mcl_core:ironblock

43 0	mcl_stairs:slab_stone_double			// Double slabs
43 1	mcl_core:sandstone
43 2	mcl_core:wood
43 3	mcl_core:cobble
43 4	mcl_core:brick_block
43 5	mcl_core:stonebrick
43 6	mcl_nether:nether_brick
43 7	mcl_nether:quartz_block
43 8	mcl_core:stone_smooth
43 9	mcl_core:sandstone
43 10	mcl_nether:quartz_chiseled


44 0	mcl_stairs:slab_stone
44 8	mcl_stairs:slab_stone_top 22
44 1	mcl_stairs:slab_sandstone
44 9	mcl_stairs:slab_sandstone_top 22
44 2	mcl_stairs:slab_wood
44 10	mcl_stairs:slab_wood_top 22
44 3	mcl_stairs:slab_cobble
44 11	mcl_stairs:slab_cobble_top 22
44 4	mcl_stairs:slab_brick_block
44 12	mcl_stairs:slab_brick_block_top 22
44 5	mcl_stairs:slab_stonebrick
44 13	mcl_stairs:slab_stonebrick_top 22
44 6	mcl_stairs:slab_nether_brick
44 14	mcl_stairs:slab_nether_brick_top 22
44 7	mcl_stairs:slab_quartzblock
44 15	mcl_stairs:slab_quartzblock_top 22


45	mcl_core:brick_block

46	mcl_tnt:tnt

47	mcl_books:bookshelf

48	mcl_core:mossycobble

49	mcl_core:obsidian

50 0	mcl_torches:torch 1
50 1	mcl_torches:torch_wall 3
50 2	mcl_torches:torch_wall 2
50 3	mcl_torches:torch_wall 4
50 4	mcl_torches:torch_wall 5
50 5	mcl_torches:torch 1

51	mcl_fire:fire

52 0	mcl_mobspawners:spawner

53 0	mcl_stairs:stair_wood 1
53 1	mcl_stairs:stair_wood 3
53 2	mcl_stairs:stair_wood 2
53 3	mcl_stairs:stair_wood 0
53 4	mcl_stairs:stair_wood 23
53 5	mcl_stairs:stair_wood 21
53 6	mcl_stairs:stair_wood 22
53 7	mcl_stairs:stair_wood 20

54 0	mcl_chests:chest 2				// map to default orientation == 2, TODO: contents
54 2	mcl_chests:chest 2				//N
54 3	mcl_chests:chest 0				//S
54 4	mcl_chests:chest 1				//W
54 5	mcl_chests:chest 3				//E

55 0	mesecons:wire_00000000_off		// FIXME: manually fit wires based on neighbors
55 1	mesecons:wire_00000000_on
55 2	mesecons:wire_00000000_on
55 3	mesecons:wire_00000000_on
55 4	mesecons:wire_00000000_on
55 5	mesecons:wire_00000000_on
55 6	mesecons:wire_00000000_on
55 7	mesecons:wire_00000000_on
55 8	mesecons:wire_00000000_on
55 9	mesecons:wire_00000000_on
55 10	mesecons:wire_00000000_on
55 11	mesecons:wire_00000000_on
55 12	mesecons:wire_00000000_on
55 13	mesecons:wire_00000000_on
55 14	mesecons:wire_00000000_on
55 15	mesecons:wire_00000000_on

56	mcl_core:stone_with_diamond
57	mcl_core:diamondblock

58	mcl_crafting_table:crafting_table

59 0	mcl_farming:wheat_1
59 1	mcl_farming:wheat_2
59 2	mcl_farming:wheat_3
59 3	mcl_farming:wheat_4
59 4	mcl_farming:wheat_5
59 5	mcl_farming:wheat_6
59 6	mcl_farming:wheat_7
59 7	mcl_farming:wheat

60 0	mcl_farming:soil
60 1	mcl_farming:soil_wet
60 2	mcl_farming:soil_wet
60 3	mcl_farming:soil_wet
60 4	mcl_farming:soil_wet
60 5	mcl_farming:soil_wet
60 6	mcl_farming:soil_wet
60 7	mcl_farming:soil_wet

61 2	mcl_furnaces:furnace 2			// TODO: contents
61 3	mcl_furnaces:furnace 0
61 4	mcl_furnaces:furnace 1
61 5	mcl_furnaces:furnace 3
62 2	mcl_furnaces:furnace_active 2
62 3	mcl_furnaces:furnace_active 0
62 4	mcl_furnaces:furnace_active 1
62 5	mcl_furnaces:furnace_active 3

63 0	mcl_signs:standing_sign			// Signs mostly fixed now.
63 1	mcl_signs:standing_sign22_5		//Thanks to the extra angles included in 'mcl_signs'.
63 2	mcl_signs:standing_sign45
63 3	mcl_signs:standing_sign67_5
63 4	mcl_signs:standing_sign 1
63 5	mcl_signs:standing_sign22_5 1
63 6	mcl_signs:standing_sign45 3
63 7	mcl_signs:standing_sign67_5 1
63 8	mcl_signs:standing_sign
63 9	mcl_signs:standing_sign22_5
63 10	mcl_signs:standing_sign45
63 11	mcl_signs:standing_sign67_5
63 12	mcl_signs:standing_sign 3
63 13	mcl_signs:standing_sign22_5 3
63 14	mcl_signs:standing_sign45 3
63 15	mcl_signs:standing_sign67_5 3

64	air					// door parts get fixed up in code

65 2	mcl_core:ladder 5
65 3	mcl_core:ladder 4
65 4	mcl_core:ladder 2
65 5	mcl_core:ladder 3

66	mcl_minecarts:rail


67 0	mcl_stairs:stair_cobble 1
67 1	mcl_stairs:stair_cobble 3
67 2	mcl_stairs:stair_cobble 2
67 3	mcl_stairs:stair_cobble 0
67 4	mcl_stairs:stair_cobble 23
67 5	mcl_stairs:stair_cobble 21
67 6	mcl_stairs:stair_cobble 22
67 7	mcl_stairs:stair_cobble 20

68 2	mcl_signs:wall_sign 5
68 3	mcl_signs:wall_sign 4
68 4	mcl_signs:wall_sign 2
68 5	mcl_signs:wall_sign 3

69 0	mesecons_walllever:wall_lever_off 15
69 1	mesecons_walllever:wall_lever_off 3
69 2	mesecons_walllever:wall_lever_off 1
69 3	mesecons_walllever:wall_lever_off 0
69 4	mesecons_walllever:wall_lever_off 2
69 5	mesecons_walllever:wall_lever_off 4
69 6	mesecons_walllever:wall_lever_off 13
69 7	mesecons_walllever:wall_lever_off 6
69 8	mesecons_walllever:wall_lever_on 15
69 9	mesecons_walllever:wall_lever_on 3
69 10	mesecons_walllever:wall_lever_on 1
69 11	mesecons_walllever:wall_lever_on 0
69 12	mesecons_walllever:wall_lever_on 2
69 13	mesecons_walllever:wall_lever_on 4
69 14	mesecons_walllever:wall_lever_on 13
69 15	mesecons_walllever:wall_lever_on 6

70	mesecons_pressureplates:pressure_plate_stone_off

71	air					// door parts get fixed up in code

72	mesecons_pressureplates:pressure_plate_wood_off

73	mcl_core:stone_with_redstone			// Redstone ore
74	mcl_core:stone_with_redstone_lit

75 1	mesecons_torch:mesecon_torch_off 3
75 2	mesecons_torch:mesecon_torch_off 2
75 3	mesecons_torch:mesecon_torch_off 4
75 4	mesecons_torch:mesecon_torch_off 5
75 5	mesecons_torch:mesecon_torch_off 1

76 1	mesecons_torch:mesecon_torch_on 3
76 2	mesecons_torch:mesecon_torch_on 2
76 3	mesecons_torch:mesecon_torch_on 4
76 4	mesecons_torch:mesecon_torch_on 5
76 5	mesecons_torch:mesecon_torch_on 1

77 0	mesecons_button:button_stone_off 0
77 1	mesecons_button:button_stone_off 3
77 2	mesecons_button:button_stone_off 2
77 3	mesecons_button:button_stone_off 4
77 4	mesecons_button:button_stone_off 5
77 5	mesecons_button:button_stone_off 1


78 0	mcl_core:snow
78 1	mcl_core:snow_2
78 2	mcl_core:snow_3
78 3	mcl_core:snow_4
78 4	mcl_core:snow_5
78 5	mcl_core:snow_6
78 6	mcl_core:snow_7
78 7	mcl_core:snow_8


79	mcl_core:ice
80	mcl_core:snowblock
81	mcl_core:cactus
82	mcl_core:clay
83	mcl_core:reeds
84	mcl_jukebox:jukebox
85	mcl_fences:fence

86 0	mcl_farming:pumpkin_face 0
86 1	mcl_farming:pumpkin_face 1
86 2	mcl_farming:pumpkin_face 2
86 3	mcl_farming:pumpkin_face 3


87	mcl_nether:netherrack
88	mcl_nether:soul_sand
89	mcl_nether:glowstone
//Nether Portal blockstate orientation fix.
90 0	mcl_portals:portal 12
90 1	mcl_portals:portal 12
90 2	mcl_portals:portal 1


91 0	mcl_farming:pumpkin_face_light 0
91 1	mcl_farming:pumpkin_face_light 1
91 2	mcl_farming:pumpkin_face_light 2
91 3	mcl_farming:pumpkin_face_light 3
91 4	mcl_farming:pumpkin_face_light

92 0	mcl_cake:cake
92 1	mcl_cake:cake_6
92 2	mcl_cake:cake_5
92 3	mcl_cake:cake_4
92 4	mcl_cake:cake_3
92 5	mcl_cake:cake_2
92 6	mcl_cake:cake_1

93 0	mesecons_delayer:delayer_off_1 0
93 1	mesecons_delayer:delayer_off_1 1
93 2	mesecons_delayer:delayer_off_1 2
93 3	mesecons_delayer:delayer_off_1 3
93 4	mesecons_delayer:delayer_off_2 0
93 5	mesecons_delayer:delayer_off_2 1
93 6	mesecons_delayer:delayer_off_2 2
93 7	mesecons_delayer:delayer_off_2 3
93 8	mesecons_delayer:delayer_off_3 0
93 9	mesecons_delayer:delayer_off_3 1
93 10	mesecons_delayer:delayer_off_3 2
93 11	mesecons_delayer:delayer_off_3 3
93 12	mesecons_delayer:delayer_off_4 0
93 13	mesecons_delayer:delayer_off_4 1
93 14	mesecons_delayer:delayer_off_4 2
93 15	mesecons_delayer:delayer_off_4 3

94 0	mesecons_delayer:delayer_on_1 0
94 1	mesecons_delayer:delayer_on_1 1
94 2	mesecons_delayer:delayer_on_1 2
94 3	mesecons_delayer:delayer_on_1 3
94 4	mesecons_delayer:delayer_on_2 0
94 5	mesecons_delayer:delayer_on_2 1
94 6	mesecons_delayer:delayer_on_2 2
94 7	mesecons_delayer:delayer_on_2 3
94 8	mesecons_delayer:delayer_on_3 0
94 9	mesecons_delayer:delayer_on_3 1
94 10	mesecons_delayer:delayer_on_3 2
94 11	mesecons_delayer:delayer_on_3 3
94 12	mesecons_delayer:delayer_on_4 0
94 13	mesecons_delayer:delayer_on_4 1
94 14	mesecons_delayer:delayer_on_4 2
94 15	mesecons_delayer:delayer_on_4 3

95 0	mcl_core:glass_white
95 1	mcl_core:glass_orange
95 2	mcl_core:glass_magenta
95 3	mcl_core:glass_light_blue
95 4	mcl_core:glass_yellow
95 5	mcl_core:glass_lime
95 6	mcl_core:glass_pink
95 7	mcl_core:glass_gray
95 8	mcl_core:glass_silver
95 9	mcl_core:glass_cyan
95 10	mcl_core:glass_purple
95 11	mcl_core:glass_blue
95 12	mcl_core:glass_brown
95 13	mcl_core:glass_green
95 14	mcl_core:glass_red
95 15	mcl_core:glass_black


96 0	mcl_doors:trapdoor 2
96 1	mcl_doors:trapdoor 0
96 2	mcl_doors:trapdoor 1
96 3	mcl_doors:trapdoor 3
96 4	mcl_doors:trapdoor_open 2
96 5	mcl_doors:trapdoor_open 0
96 6	mcl_doors:trapdoor_open 1
96 7	mcl_doors:trapdoor_open 3
96 8	mcl_doors:trapdoor 22
96 9	mcl_doors:trapdoor 20
96 10	mcl_doors:trapdoor 23
96 11	mcl_doors:trapdoor 21
96 12	mcl_doors:trapdoor_open 22
96 13	mcl_doors:trapdoor_open 20
96 14	mcl_doors:trapdoor_open 23
96 15	mcl_doors:trapdoor_open 21

97 0	mcl_monster_eggs:monster_egg_stone				// Silverfish
97 1	mcl_monster_eggs:monster_egg_cobble
97 2	mcl_monster_eggs:monster_egg_stonebrick
97 3	mcl_monster_eggs:monster_egg_stonebrickmossy
97 4	mcl_monster_eggs:monster_egg_stonebrickcracked
97 5	mcl_monster_eggs:monster_egg_stonebrickcarved

98 0	mcl_core:stonebrick
98 1	mcl_core:stonebrickmossy
98 2	mcl_core:stonebrickcracked
98 3	mcl_core:stonebrickcarved


99 0	mcl_mushrooms:brown_mushroom_block_cap_000000
99 1	mcl_mushrooms:brown_mushroom_block_cap_100110
99 2	mcl_mushrooms:brown_mushroom_block_cap_100010
99 3	mcl_mushrooms:brown_mushroom_block_cap_101010
99 4	mcl_mushrooms:brown_mushroom_block_cap_100100
99 5	mcl_mushrooms:brown_mushroom_block_cap_100000
99 6	mcl_mushrooms:brown_mushroom_block_cap_101000
99 7	mcl_mushrooms:brown_mushroom_block_cap_100101
99 8	mcl_mushrooms:brown_mushroom_block_cap_100001
99 9	mcl_mushrooms:brown_mushroom_block_cap_101001
99 10	mcl_mushrooms:brown_mushroom_block_stem
99 14	mcl_mushrooms:brown_mushroom_block_cap_111111
99 15	mcl_mushrooms:brown_mushroom_block_stem_full
100 0	mcl_mushrooms:red_mushroom_block_cap_000000
100 1	mcl_mushrooms:red_mushroom_block_cap_100110
100 2	mcl_mushrooms:red_mushroom_block_cap_100010
100 3	mcl_mushrooms:red_mushroom_block_cap_101010
100 4	mcl_mushrooms:red_mushroom_block_cap_100100
100 5	mcl_mushrooms:red_mushroom_block_cap_100000
100 6	mcl_mushrooms:red_mushroom_block_cap_101000
100 7	mcl_mushrooms:red_mushroom_block_cap_100101
100 8	mcl_mushrooms:red_mushroom_block_cap_100001
100 9	mcl_mushrooms:red_mushroom_block_cap_101001
100 10	mcl_mushrooms:red_mushroom_block_stem
100 14	mcl_mushrooms:red_mushroom_block_cap_111111
100 15	mcl_mushrooms:red_mushroom_block_stem_full


101	xpanes:bar				// This seems to fix rotation issues.
102	xpanes:pane_natural		// Mostly fixed, as it fixes rotation issues. But, requires adding some groups to the "connects_to" list in xpanes.

103	mcl_farming:melon				// rotates randomly

104 0	mcl_farming:pumpkin_1
104 1	mcl_farming:pumpkin_2
104 2	mcl_farming:pumpkin_3
104 3	mcl_farming:pumpkin_4
104 4	mcl_farming:pumpkin_5
104 5	mcl_farming:pumpkin_6
104 6	mcl_farming:pumpkin_7
104 7	mcl_farming:pumpkintige_unconnect

105 0	mcl_farming:melontige_1
105 1	mcl_farming:melontige_2
105 2	mcl_farming:melontige_3
105 3	mcl_farming:melontige_4
105 4	mcl_farming:melontige_5
105 5	mcl_farming:melontige_6
105 6	mcl_farming:melontige_7
105 7	mcl_farming:melontige_unconnect

106 1	mcl_core:vine 5			//Ignore errors about other 106 #'s.
106 2	mcl_core:vine 3			//The bits are toggleable; meaning you don't need both.
106 4	mcl_core:vine 4			//These 4 will cover all bases(N-4,E-5,S-2,W-3)
106 8	mcl_core:vine 2

107 0	mcl_fences:fence_gate 2
107 1	mcl_fences:fence_gate 3
107 2	mcl_fences:fence_gate 0
107 3	mcl_fences:fence_gate 1
107 4	mcl_fences:fence_gate_open 2
107 5	mcl_fences:fence_gate_open 3
107 6	mcl_fences:fence_gate_open 0
107 7	mcl_fences:fence_gate_open 1

108 0	mcl_stairs:stair_brick_block 1
108 1	mcl_stairs:stair_brick_block 3
108 2	mcl_stairs:stair_brick_block 2
108 3	mcl_stairs:stair_brick_block 0
108 4	mcl_stairs:stair_brick_block 23
108 5	mcl_stairs:stair_brick_block 21
108 6	mcl_stairs:stair_brick_block 22
108 7	mcl_stairs:stair_brick_block 20

109 0	mcl_stairs:stair_stonebrick 1
109 1	mcl_stairs:stair_stonebrick 3
109 2	mcl_stairs:stair_stonebrick 2
109 3	mcl_stairs:stair_stonebrick 0
109 4	mcl_stairs:stair_stonebrick 23
109 5	mcl_stairs:stair_stonebrick 21
109 6	mcl_stairs:stair_stonebrick 22
109 7	mcl_stairs:stair_stonebrick 20

110	mcl_core:mycelium
111	mcl_flowers:waterlily			// rotation done in code randomly

112	mcl_nether:nether_brick
113	mcl_fences:nether_brick_fence


114 0	mcl_stairs:stair_nether_brick 1
114 1	mcl_stairs:stair_nether_brick 3
114 2	mcl_stairs:stair_nether_brick 2
114 3	mcl_stairs:stair_nether_brick 0
114 4	mcl_stairs:stair_nether_brick 23
114 5	mcl_stairs:stair_nether_brick 21
114 6	mcl_stairs:stair_nether_brick 22
114 7	mcl_stairs:stair_nether_brick 20



115 0	mcl_nether:nether_wart_0
115 1	mcl_nether:nether_wart_1
115 2	mcl_nether:nether_wart_2
115 3	mcl_nether:nether_wart

//116 0	enchantment_table
//117 0	brewing stand

118 0	mcl_cauldrons:cauldron
118 1	mcl_cauldrons:cauldron_1	//  1/3 full
118 2	mcl_cauldrons:cauldron_2	//  2/3 full
118 3	mcl_cauldrons:cauldron_3	//  Full

119 0	mcl_portals:portal_end

120 0	mcl_portals:end_portal_frame
120 1	mcl_portals:end_portal_frame
120 2	mcl_portals:end_portal_frame
120 3	mcl_portals:end_portal_frame
120 4	mcl_portals:end_portal_frame_eye
120 5	mcl_portals:end_portal_frame_eye
120 6	mcl_portals:end_portal_frame_eye
120 7	mcl_portals:end_portal_frame_eye

121 0	mcl_end:end_stone
122 0	mcl_end:dragon_egg


123	mesecons_lightstone:lightstone_off
124	mesecons_lightstone:lightstone_on


125 0	mcl_core:wood
125 1	mcl_core:sprucewood
125 2	mcl_core:birchwood
125 3	mcl_core:junglewood
125 4	mcl_core:acaciawood
125 5	mcl_core:darkwood

126 0	mcl_stairs:slab_wood
126 8	mcl_stairs:slab_wood_top 22
126 1	mcl_stairs:slab_sprucewood
126 9	mcl_stairs:slab_sprucewood_top 22
126 2	mcl_stairs:slab_birchwood
126 10	mcl_stairs:slab_birchwood_top 22
126 3	mcl_stairs:slab_junglewood
126 11	mcl_stairs:slab_junglewood_top 22
126 4	mcl_stairs:slab_acaciawood
126 12	mcl_stairs:slab_acaciawood_top 22
126 5	mcl_stairs:slab_darkwood
126 13	mcl_stairs:slab_darkwood_top 22



127 0	mcl_cocoas:cocoa_1 2
127 1	mcl_cocoas:cocoa_1 3
127 2	mcl_cocoas:cocoa_1 0
127 3	mcl_cocoas:cocoa_1 1
127 4	mcl_cocoas:cocoa_2 2
127 5	mcl_cocoas:cocoa_2 3
127 6	mcl_cocoas:cocoa_2 0
127 7	mcl_cocoas:cocoa_2 1
127 8	mcl_cocoas:cocoa_3 2
127 9	mcl_cocoas:cocoa_3 3
127 10	mcl_cocoas:cocoa_3 0
127 11	mcl_cocoas:cocoa_3 1

128 0	mcl_stairs:stair_sandstone 1
128 1	mcl_stairs:stair_sandstone 3
128 2	mcl_stairs:stair_sandstone 2
128 3	mcl_stairs:stair_sandstone 0
128 4	mcl_stairs:stair_sandstone 23
128 5	mcl_stairs:stair_sandstone 21
128 6	mcl_stairs:stair_sandstone 22
128 7	mcl_stairs:stair_sandstone 20

129	mcl_core:stone_with_emerald

130 2	mcl_chests:ender_chest 2
130 3	mcl_chests:ender_chest 0
130 4	mcl_chests:ender_chest 1
130 5	mcl_chests:ender_chest 3

//131 tripwire hook
//132 tripwire

133 0	mcl_core:emeraldblock


134 0	mcl_stairs:stair_sprucewood 1
134 1	mcl_stairs:stair_sprucewood 3
134 2	mcl_stairs:stair_sprucewood 2
134 3	mcl_stairs:stair_sprucewood 0
134 4	mcl_stairs:stair_sprucewood 23
134 5	mcl_stairs:stair_sprucewood 21
134 6	mcl_stairs:stair_sprucewood 22
134 7	mcl_stairs:stair_sprucewood 20

135 0	mcl_stairs:stair_birchwood 1
135 1	mcl_stairs:stair_birchwood 3
135 2	mcl_stairs:stair_birchwood 2
135 3	mcl_stairs:stair_birchwood 0
135 4	mcl_stairs:stair_birchwood 23
135 5	mcl_stairs:stair_birchwood 21
135 6	mcl_stairs:stair_birchwood 22
135 7	mcl_stairs:stair_birchwood 20

136 0	mcl_stairs:stair_junglewood 1
136 1	mcl_stairs:stair_junglewood 3
136 2	mcl_stairs:stair_junglewood 2
136 3	mcl_stairs:stair_junglewood 0
136 4	mcl_stairs:stair_junglewood 23
136 5	mcl_stairs:stair_junglewood 21
136 6	mcl_stairs:stair_junglewood 22
136 7	mcl_stairs:stair_junglewood 20


137	mesecons_commandblock:commandblock_off	// FIXME: formspec

//138 0 beacon

139 0	mcl_walls:cobble
139 1	mcl_walls:mossycobble

140	mcl_flowerpots:flower_pot		// code will plant right flower

141 0	mcl_farming:carrot_1
141 1	mcl_farming:carrot_2
141 2	mcl_farming:carrot_3
141 3	mcl_farming:carrot_4
141 4	mcl_farming:carrot_5
141 5	mcl_farming:carrot_6
141 6	mcl_farming:carrot_7
141 7	mcl_farming:carrot

142 0	mcl_farming:potato_1
142 1	mcl_farming:potato_2
142 2	mcl_farming:potato_3
142 3	mcl_farming:potato_4
142 4	mcl_farming:potato_5
142 5	mcl_farming:potato_6
142 6	mcl_farming:potato_7
142 7	mcl_farming:potato

143 0	mesecons_button:button_wood_off 0
143 1	mesecons_button:button_wood_off 3
143 2	mesecons_button:button_wood_off 2
143 3	mesecons_button:button_wood_off 4
143 4	mesecons_button:button_wood_off 5
143 5	mesecons_button:button_wood_off 1

//Todo: entity data to define heads, default to Steve for now.
